Name	UUID	URI
UnitJuMP	bcad6099-3893-4a89-b8e7-2c92a19b03be	https://github.com/trulsf/UnitJuMP.jl.git
InteratomicPotentials	a9efe35a-c65d-452d-b8a8-82646cd5cb04	https://github.com/cesmix-mit/InteratomicPotentials.jl.git
AcousticFeatures	6a458947-61d4-43a6-b30c-4a7a83d249ad	https://github.com/sonosole/AcousticFeatures.jl.git
SqState	8d120385-201d-43c1-a82b-e15c39505f50	https://github.com/foldfelis-QO/SqState.jl.git
VoxelRayTracers	d9e3e1c4-15df-46c7-bfdb-139154feb7ae	https://github.com/jw3126/VoxelRayTracers.jl.git
ClimateTools	4f4ee721-4970-5af2-8560-6c1d960e3231	https://github.com/JuliaClimate/ClimateTools.jl.git
BackgroundSubtraction	9977cdcb-3521-4027-9f3f-3caff6505f42	https://github.com/SebastianAment/BackgroundSubtraction.jl.git
IonCLI	7a67c3bc-365d-4399-aa69-e9a17770ea1f	https://github.com/Roger-luo/IonCLI.jl.git
LSHFunctions	5134c85a-a9db-11e9-340f-8514dff59a31	https://github.com/kernelmethod/LSHFunctions.jl.git
SimpleDataLoader	c1a33df0-d483-433f-a276-d4ca0de2df57	https://github.com/cossio/SimpleDataLoader.jl.git
BetaReader	e5583720-4bc8-44d1-bd9a-9734450b0166	https://github.com/Eumaeus/BetaReader.jl.git
IsoPkg	e83058a5-5d84-4d47-98c5-f4cddc4c1074	https://github.com/longqian95/IsoPkg.git
Cgl_jll	3830e938-1dd0-5f3e-8b8e-b3ee43226782	https://github.com/JuliaBinaryWrappers/Cgl_jll.jl.git
boost_jll	28df3c45-c428-5900-9ff8-a3135698ca75	https://github.com/JuliaBinaryWrappers/boost_jll.jl.git
ChainLadder	80b912e8-4419-4152-9910-58fcfb6515ad	https://github.com/JuliaActuary/ChainLadder.jl.git
DelaySSAToolkit	d39380a9-d0d7-4ae6-ae63-0e8d8b7efa9e	https://github.com/palmtree2013/DelaySSAToolkit.jl.git
MannKendall	1761a1e1-e032-445b-870e-f3b23132a90a	https://github.com/mmhs013/MannKendall.jl.git
BasicInterpolators	26cce99e-4866-4b6d-ab74-862489e035e0	https://github.com/markmbaum/BasicInterpolators.jl.git
OPFSampler	ce3535a8-59a6-4c0a-83ac-3858a19dc5ad	https://github.com/invenia/OPFSampler.jl.git
StrBase	e79e7a6a-7bb1-5a4d-9d64-da657b06f53a	https://github.com/JuliaString/StrBase.jl.git
ChooseOptimizer	858a232f-1959-5553-8cfc-91e1fd5304e2	https://github.com/scheinerman/ChooseOptimizer.jl.git
CurricularVisualization	fbaee398-1ac9-4ee2-a69c-ef17203eefbf	https://github.com/CurricularAnalytics/CurricularVisualization.jl.git
Telescope	5cda3ad9-a1fd-4c59-8c0c-bd6100725b84	https://github.com/jhigginbotham64/Telescope.jl.git
GridVisualizeTools	5573ae12-3b76-41d9-b48c-81d0b6e61cc5	https://github.com/j-fu/GridVisualizeTools.jl.git
DashDaq	1b08a953-4be3-4667-9a23-a540cca008f6	https://github.com/plotly/DashDaq.jl.git
SpatialIndexing	d4ead438-fe20-5cc5-a293-4fd39a41b74c	https://github.com/alyst/SpatialIndexing.jl.git
DifferentiableTrajectoryOptimization	86fad55d-71c6-41a1-96ed-88d107dcd2ba	https://github.com/lassepe/DifferentiableTrajectoryOptimization.jl.git
InteractBase	d3863d7c-f0c8-5437-a7b4-3ae773c01009	https://github.com/piever/InteractBase.jl.git
ModiaLang	34b37210-eaa3-4b48-8781-0b87bf559981	https://github.com/ModiaSim/ModiaLang.jl.git
JqData	4296d2f8-d960-4a51-97e7-b097944e4d59	https://github.com/hzgzh/JqData.jl.git
nPth_jll	58695248-dc95-54d8-8aad-a18bc9fe19aa	https://github.com/JuliaBinaryWrappers/nPth_jll.jl.git
TransformedLogDensities	f9bc47f6-f3f8-4f3b-ab21-f8bc73906f26	https://github.com/tpapp/TransformedLogDensities.jl.git
DeformableBodies	e53d2b94-6236-11e9-2d7b-535d79ecd3d3	https://github.com/iagoleal/DeformableBodies.jl.git
QuantumAnnealingAnalytics	f4de928d-7c93-4858-9dcf-40bc6948a1da	https://github.com/lanl-ansi/QuantumAnnealingAnalytics.jl.git
MFrontInterface	f46a0e2b-0ed0-5677-a4b9-4be52fead4dc	https://github.com/JuliaFEM/MFrontInterface.jl.git
SciMLTutorials	30cb0354-2223-46a9-baa0-41bdcfbe0178	https://github.com/SciML/SciMLTutorials.jl.git
OneHot	460b0459-f81d-40f2-a460-3486927c7399	https://github.com/cossio/OneHot.jl.git
GenericDecMats	a98d1166-8d3f-4eaf-b2a4-26e52ad22d9c	https://github.com/oscar-system/GenericDecMats.jl.git
MicroscopePSFs	de9ac726-48a4-48ab-84b0-1c03c7c18929	https://github.com/JuliaSMLM/MicroscopePSFs.jl.git
GuessworkQuantumSideInfo	43bf2e5e-2e2b-4a4c-a80a-78ff5d909e07	https://github.com/ericphanson/GuessworkQuantumSideInfo.jl.git
PkgMirrors	e0fc9d43-7ff6-5671-9fff-748a5437251c	https://github.com/sunoru/PkgMirrors.jl.git
Xorg_libXft_jll	2c808117-e144-5220-80d1-69d4eaa9352c	https://github.com/JuliaBinaryWrappers/Xorg_libXft_jll.jl.git
LazyModules	8cdb02fc-e678-4876-92c5-9defec4f444e	https://github.com/johnnychen94/LazyModules.jl.git
JonkerVolgenant_jll	a885a4bc-65ec-5865-a301-890ce0af48d0	https://github.com/JuliaBinaryWrappers/JonkerVolgenant_jll.jl.git
VisualizeMotifs	dc339a6f-2fa1-401a-9066-9c0d413e71da	https://github.com/kchu25/VisualizeMotifs.jl.git
Indicators	70c4c096-89a6-5ec6-8236-da8aa3bd86fd	https://github.com/dysonance/Indicators.jl.git
CompositionsBase	a33af91c-f02d-484b-be07-31d278c5ca2b	https://github.com/JuliaFunctional/CompositionsBase.jl.git
NearestNeighbors	b8a86587-4115-5ab1-83bc-aa920d37bbce	https://github.com/KristofferC/NearestNeighbors.jl.git
oneAPI_Level_Zero_jll	0038a6a5-a77d-50b4-8f67-3bd55e463950	https://github.com/JuliaBinaryWrappers/oneAPI_Level_Zero_jll.jl.git
ImageMetadata	bc367c6b-8a6b-528e-b4bd-a4b897500b49	https://github.com/JuliaImages/ImageMetadata.jl.git
PlayingCards52	c2ceccfa-fa3a-4f0d-8d5f-27465c1854bf	https://github.com/scheinerman/PlayingCards52.jl.git
BaslerCamera	e40af120-e25d-11ea-0ce6-f3b09ee65c37	https://github.com/paulmthompson/BaslerCamera.jl.git
UpROOT	69ce31c6-c38d-56c2-aa87-409d3de9f997	https://github.com/JuliaHEP/UpROOT.jl.git
AlignedSpans	72438786-fd5d-49ef-8843-650acbdfe662	https://github.com/beacon-biosignals/AlignedSpans.jl.git
CausalForest	31bdf679-24a7-499a-9be9-b214c66174ea	https://github.com/BereniceAlexiaJocteur/CausalForest.jl.git
BoxLeastSquares	6c353534-c22b-44cc-9076-7b904de9fadc	https://github.com/JuliaAstro/BoxLeastSquares.jl.git
EditionBuilders	2fb66cca-c1f8-4a32-85dd-1a01a9e8cd8f	https://github.com/HCMID/EditionBuilders.jl.git
SoapyRTLSDR_jll	7bed6c1d-f2db-586c-9908-488058499e34	https://github.com/JuliaBinaryWrappers/SoapyRTLSDR_jll.jl.git
BatchedBLAS	dfa6e8bd-ffa5-4347-817a-aa08eb84b250	https://github.com/JaneliaSciComp/BatchedBLAS.jl.git
Arrow_jll	8ce61222-c28f-5041-a97a-c2198fb817bf	https://github.com/JuliaBinaryWrappers/Arrow_jll.jl.git
LandauDistribution	6012e1b8-0df6-47e7-96ae-5acef29e6d22	https://github.com/JuliaHEP/LandauDistribution.jl.git
StaticArraysCore	1e83bf80-4336-4d27-bf5d-d5a4f845583c	https://github.com/JuliaArrays/StaticArraysCore.jl.git
SuperEnum	5c958174-e7d9-5990-9618-4567de4ba542	https://github.com/kindlychung/SuperEnum.jl.git
GEOTRACES	0fd43d8d-f157-424e-aaf7-32776c24e0de	https://github.com/briochemc/GEOTRACES.jl.git
GenParticleFilters	56b76ac4-72ef-411e-b419-6d312ed86a6f	https://github.com/probcomp/GenParticleFilters.jl.git
AMReX_jll	9b6a1cb2-ee7e-5f22-a98b-ab382f85f133	https://github.com/JuliaBinaryWrappers/AMReX_jll.jl.git
ConcurrentCollections	5060bff5-0b44-40c5-b522-fcd3ca5cecdd	https://github.com/JuliaConcurrent/ConcurrentCollections.jl.git
PlantGeom	5edaa67e-25db-4eb9-bf81-05d793b2238d	https://github.com/VEZY/PlantGeom.jl.git
NuclearCalculator	73d1964e-ddff-49b5-b01c-23c02cc88402	https://github.com/jackwoodside/NuclearCalculator.jl.git
RNAForecaster	89c3ded9-0a88-4470-ac19-d41b58fa4c14	https://github.com/rossinerbe/RNAForecaster.jl.git
CapacityExpansionData	2c92f082-f457-11e9-1715-ebb1b5fff37b	https://github.com/YoungFaithful/CapacityExpansionData.jl.git
Logging2	18cd0bd4-3461-488c-9dae-1a490b172243	https://github.com/JuliaLogging/Logging2.jl.git
JLBoost	13d6d4a1-5e7f-472c-9ebc-8123a4fbb95f	https://github.com/xiaodaigh/JLBoost.jl.git
HealthBase	94e1309d-ccf4-42de-905f-515f1d7b1cae	https://github.com/JuliaHealth/HealthBase.jl.git
DrakeVisualizer	49c7015b-b8db-5bc5-841b-fcb31c578176	https://github.com/rdeits/DrakeVisualizer.jl.git
TiffImages	731e570b-9d59-4bfa-96dc-6df516fadf69	https://github.com/tlnagy/TiffImages.jl.git
Edlib_jll	9cc87b63-894b-53d6-8750-e9bc5869edd9	https://github.com/JuliaBinaryWrappers/Edlib_jll.jl.git
SIMDPolynomials	4edc584b-a88b-4acf-80bb-891198a11e01	https://github.com/YingboMa/SIMDPolynomials.jl.git
LocalStore	7673ebd9-f02d-46dd-b879-08aafde2f01b	https://github.com/cossio/LocalStore.jl.git
AcousticsToolbox	268a15bc-5756-47d6-9bea-fa5dc21c97f8	https://github.com/org-arl/AcousticsToolbox.jl.git
LegendrePolynomials	3db4a2ba-fc88-11e8-3e01-49c72059a882	https://github.com/jishnub/LegendrePolynomials.jl.git
GeoClustering	7472b188-6dde-460e-bd07-96c4bc049f7e	https://github.com/JuliaEarth/GeoClustering.jl.git
MLJText	5e27fcf9-6bac-46ba-8580-b5712f3d6387	https://github.com/JuliaAI/MLJText.jl.git
ExcelUtilities	55336d7b-7a60-40a5-8869-d5806121a906	https://github.com/alecloudenback/ExcelUtilities.jl.git
GLFWAbstraction	b4519675-ec9c-4dd5-a759-fbb42bea0e46	https://github.com/VoxelPopuliEngine/GLFWAbstraction.jl.git
JupyterParameters	2f2169dc-6776-11e9-1952-6179d4a35fe3	https://github.com/m-wells/JupyterParameters.jl.git
GPUInspector	608d808f-ff79-47b0-a25d-21f2c9b42853	https://github.com/pc2/GPUInspector.jl.git
RobotZoo	74be38bb-dcc2-4b9e-baf3-d6373cd95f10	https://github.com/RoboticExplorationLab/RobotZoo.jl.git
YaoExtensions	7a06699c-c960-11e9-3c98-9f78548b5f0f	https://github.com/QuantumBFS/YaoExtensions.jl.git
MRIBase	f7771a9a-6e57-4e71-863b-6e4b6a2f17df	https://github.com/MagneticResonanceImaging/MRIReco.jl.git
SLICOT_jll	545525a2-e20e-568b-b87f-b40a06098995	https://github.com/JuliaBinaryWrappers/SLICOT_jll.jl.git
sed_jll	8ce03227-cf0a-51af-b0b4-2693c0743e9f	https://github.com/JuliaBinaryWrappers/sed_jll.jl.git
ForecastEval	c08c26e9-7d88-5404-9cd5-c0fa6a8b90ba	https://github.com/colintbowers/ForecastEval.jl.git
WebAssembly	4f6df8df-4739-5653-a877-cf57ee625c27	https://github.com/MikeInnes/WebAssembly.jl.git
NumericalTypeAliases	be9b823e-291e-41a1-b8ce-806204e78f92	https://github.com/AP6YC/NumericalTypeAliases.jl.git
SuiteSparseMatrixCollection	ac199af8-68bc-55b8-82c4-7abd6f96ed98	https://github.com/JuliaSmoothOptimizers/SuiteSparseMatrixCollection.jl.git
Luna_jll	5c9374ce-fdac-595e-b98d-9d97a97a2302	https://github.com/JuliaBinaryWrappers/Luna_jll.jl.git
NodeCall	84d67a5e-1aa2-4817-a501-81e0ebf70bff	https://github.com/sunoru/NodeCall.jl.git
PGLib	07a8691f-3d11-4330-951b-3c50f98338be	https://github.com/noahrhodes/PGLib.jl.git
SpaceLiDAR	29bf0bfc-420f-4fa5-b441-811fd9e6e11d	https://github.com/evetion/SpaceLiDAR.jl.git
SimpleTensorNetworks	4456351a-5be3-4067-ade9-541926a41e04	https://github.com/TensorBFS/SimpleTensorNetworks.jl.git
AudioDB	7751140e-3dbe-4f12-a6f7-19bdd520e90f	https://github.com/thechampagne/AudioDB.jl.git
DataDrivenLux	47881146-99d0-492a-8425-8f2f33327637	https://github.com/SciML/DataDrivenDiffEq.jl.git
